job_id	written	fraction	resolved
1084131516357246977	2025-07-22 05:00:37.86589+00	0	NULL
1084131516357246977	2025-07-22 05:00:07.863859+00	0	NULL
1084131516357246977	2025-07-22 04:59:37.859939+00	0	NULL
1084131516357246977	2025-07-22 04:59:07.859056+00	0	NULL
1084131516357246977	2025-07-22 04:58:37.856446+00	0	NULL
1084131516357246977	2025-07-22 04:58:07.854728+00	0	NULL
1084131516357246977	2025-07-22 04:57:37.851982+00	0	NULL
1084131516357246977	2025-07-22 04:57:07.846623+00	0	NULL
1084131516357246977	2025-07-22 04:56:37.844498+00	0	NULL
1084131516357246977	2025-07-22 04:56:07.843819+00	0	NULL
1084131516357246977	2025-07-22 04:55:10.136143+00	0	NULL
1084131516357246977	2025-07-22 04:54:02.283015+00	0	NULL
1084131516357246977	2025-07-22 04:33:28.476439+00	0	NULL
1084131516357246977	2025-07-22 04:00:03.548321+00	0	NULL
1084131516357246977	2025-07-22 02:59:09.874427+00	0	NULL
1084131516357246977	2025-07-22 02:19:44.798363+00	0	NULL
1084131516357246977	2025-07-22 00:57:59.801282+00	0	NULL
1084131516357246977	2025-07-22 00:07:31.026075+00	0	NULL
1084131516357246977	2025-07-21 22:29:33.289465+00	0	NULL
1084131516357246977	2025-07-21 21:08:52.777491+00	0	NULL
1084131516357246977	2025-07-21 18:21:42.11419+00	0	NULL
1084131516357246977	2025-07-21 17:45:45.634278+00	0	NULL
1084131516357246977	2025-07-21 17:12:45.413585+00	0	NULL
1084131516357246977	2025-07-21 16:11:57.472262+00	0	NULL
1084131516357246977	2025-07-21 15:27:49.491549+00	0	NULL
1084131516357246977	2025-07-21 14:16:42.294572+00	0	NULL
1084131516357246977	2025-07-21 14:06:11.21281+00	0	NULL
1084131516357246977	2025-07-21 13:17:15.90089+00	0	NULL
1084131516357246977	2025-07-21 12:43:47.151317+00	0	NULL
1084131516357246977	2025-07-21 12:43:17.146435+00	0	NULL
1084131516357246977	2025-07-21 12:41:30.229761+00	0	NULL
1084131516357246977	2025-07-21 12:37:52.400851+00	0	NULL
1084131516357246977	2025-07-21 12:13:48.592495+00	0	NULL
1084131516357246977	2025-07-21 12:12:32.684528+00	0	NULL
1084131516357246977	2025-07-21 12:11:13.407992+00	0	NULL
1084131516357246977	2025-07-21 12:10:14.132817+00	0	NULL
1084131516357246977	2025-07-21 12:08:47.75198+00	0	NULL
1084131516357246977	2025-07-21 12:08:17.742998+00	0	NULL
1084131516357246977	2025-07-21 12:07:47.74061+00	0	NULL
1084131516357246977	2025-07-21 12:07:17.737414+00	0	NULL
1084131516357246977	2025-07-21 12:06:47.735128+00	0	NULL
1084131516357246977	2025-07-21 12:06:17.73155+00	0	NULL
1084131516357246977	2025-07-21 12:05:47.730135+00	0	NULL
1084131516357246977	2025-07-21 12:05:17.721888+00	0	NULL
1084131516357246977	2025-07-21 12:04:47.719915+00	0	NULL
1084131516357246977	2025-07-21 12:04:17.717108+00	0	NULL
1084131516357246977	2025-07-21 12:03:47.715863+00	0	NULL
1084131516357246977	2025-07-21 12:03:17.7146+00	0	NULL
1084131516357246977	2025-07-21 12:02:47.713749+00	0	NULL
1084131516357246977	2025-07-21 12:02:17.711678+00	0	NULL
1084131516357246977	2025-07-21 12:01:47.709391+00	0	NULL
1084131516357246977	2025-07-21 12:01:17.700482+00	0	NULL
1084131516357246977	2025-07-21 12:00:47.694902+00	0	NULL
1084131516357246977	2025-07-21 12:00:17.692811+00	0	NULL
1084131516357246977	2025-07-21 11:59:47.681896+00	0	NULL
1084131516357246977	2025-07-21 11:59:17.663684+00	0	NULL
1084131516357246977	2025-07-21 11:58:47.659225+00	0	NULL
1084131516357246977	2025-07-21 11:58:17.657966+00	0	NULL
1084131516357246977	2025-07-21 11:57:47.656222+00	0	NULL
1084131516357246977	2025-07-21 11:57:17.653393+00	0	NULL
1084131516357246977	2025-07-21 11:56:47.64831+00	0	NULL
1084131516357246977	2025-07-21 11:56:17.646472+00	0	NULL
1084131516357246977	2025-07-21 11:55:47.644608+00	0	NULL
1084131516357246977	2025-07-21 11:55:17.643238+00	0	NULL
1084131516357246977	2025-07-21 11:54:47.64144+00	0	NULL
1084131516357246977	2025-07-21 11:54:17.637449+00	0	NULL
1084131516357246977	2025-07-21 11:53:47.635006+00	0	NULL
1084131516357246977	2025-07-21 11:53:17.632731+00	0	NULL
1084131516357246977	2025-07-21 11:52:47.63139+00	0	NULL
1084131516357246977	2025-07-21 11:52:17.627584+00	0	NULL
1084131516357246977	2025-07-21 11:51:47.624076+00	0	NULL
1084131516357246977	2025-07-21 11:51:17.620273+00	0	NULL
1084131516357246977	2025-07-21 11:50:47.616042+00	0	NULL
1084131516357246977	2025-07-21 11:50:17.613253+00	0	NULL
1084131516357246977	2025-07-21 11:49:47.610116+00	0	NULL
1084131516357246977	2025-07-21 11:49:17.60907+00	0	NULL
1084131516357246977	2025-07-21 11:48:47.605421+00	0	NULL
1084131516357246977	2025-07-21 11:48:35.670903+00	0	NULL
1084131516357246977	2025-07-21 11:48:17.602827+00	0	NULL
1084131516357246977	2025-07-21 11:47:47.601944+00	0	NULL
1084131516357246977	2025-07-21 11:47:32.643862+00	0	NULL
1084131516357246977	2025-07-21 11:47:23.639864+00	0	NULL
1084131516357246977	2025-07-21 11:47:17.597133+00	0	NULL
1084131516357246977	2025-07-21 11:46:47.590256+00	0	NULL
1084131516357246977	2025-07-21 11:46:17.588729+00	0	NULL
1084131516357246977	2025-07-21 11:45:56.655371+00	0	NULL
1084131516357246977	2025-07-21 11:45:47.586678+00	0	NULL
1084131516357246977	2025-07-21 11:45:17.58566+00	0	NULL
1084131516357246977	2025-07-21 11:44:47.586655+00	0	NULL
1084131516357246977	2025-07-21 11:44:17.60025+00	0	NULL
1084131516357246977	2025-07-21 11:43:47.599421+00	0	NULL
1084131516357246977	2025-07-21 11:43:17.59324+00	0	NULL
1084131516357246977	2025-07-21 11:42:47.591896+00	0	NULL
1084131516357246977	2025-07-21 11:42:17.589785+00	0	NULL
1084131516357246977	2025-07-21 11:41:47.586372+00	0	NULL
1084131516357246977	2025-07-21 11:41:17.583432+00	0	NULL
1084131516357246977	2025-07-21 11:40:47.581543+00	0	NULL
1084131516357246977	2025-07-21 11:40:17.570209+00	0	NULL
1084131516357246977	2025-07-21 11:39:47.56548+00	0	NULL
1084131516357246977	2025-07-21 11:39:17.560671+00	0	NULL
1084131516357246977	2025-07-21 11:38:47.55812+00	0	NULL
1084131516357246977	2025-07-21 11:38:17.555765+00	0	NULL
1084131516357246977	2025-07-21 11:37:47.554493+00	0	NULL
1084131516357246977	2025-07-21 11:37:17.552571+00	0	NULL
1084131516357246977	2025-07-21 11:36:47.551352+00	0	NULL
1084131516357246977	2025-07-21 11:36:17.548104+00	0	NULL
1084131516357246977	2025-07-21 11:35:47.541522+00	0	NULL
1084131516357246977	2025-07-21 11:35:17.538337+00	0	NULL
1084131516357246977	2025-07-21 11:34:47.53698+00	0	NULL
1084131516357246977	2025-07-21 11:34:17.534498+00	0	NULL
1084131516357246977	2025-07-21 11:33:47.52236+00	0	NULL
1084131516357246977	2025-07-21 11:33:17.502264+00	0	NULL
1084131516357246977	2025-07-21 11:32:47.500348+00	0	NULL
1084131516357246977	2025-07-21 11:32:17.497725+00	0	NULL
