job_id	written	status
1091214204864790529	2025-07-21 07:22:27.741712+00	all stages completed
1091214205752901633	2025-07-21 07:22:28.087784+00	waiting for MVCC GC
1091215858751537153	2025-07-21 07:30:52.493111+00	all stages completed
1091215859725565953	2025-07-21 07:30:52.838985+00	waiting for MVCC GC
1091218339290087425	2025-07-21 07:43:29.463543+00	all stages completed
1091218340163518465	2025-07-21 07:43:29.78936+00	waiting for MVCC GC
1091235541784952833	2025-07-21 09:10:59.261372+00	all stages completed
1091235542702948353	2025-07-21 09:10:59.60223+00	waiting for MVCC GC
1091236070393610241	2025-07-21 09:13:40.591427+00	all stages completed
1091236071351091201	2025-07-21 21:08:52.890032+00	waiting for MVCC GC
1091249897688530945	2025-07-21 10:24:00.326755+00	all stages completed
1091249898576576513	2025-07-21 21:08:52.88351+00	waiting for MVCC GC
1091261239552933889	2025-07-21 11:21:41.592495+00	all stages completed
1091261240450809857	2025-07-21 11:21:41.934422+00	waiting for MVCC GC
1091475180895076353	2025-07-22 05:29:51.190086+00	all stages completed
1091475181382008833	2025-07-22 05:29:51.690778+00	waiting for MVCC GC
1091480456366718977	2025-07-22 05:56:41.118551+00	all stages completed
1091480456795422721	2025-07-22 05:56:41.463254+00	waiting for MVCC GC
1091480832777453569	2025-07-22 05:58:35.984939+00	all stages completed
1091480833191739393	2025-07-22 05:58:36.250538+00	waiting for MVCC GC
1091481279041896449	2025-07-22 06:00:52.171664+00	all stages completed
1091481279444811777	2025-07-22 06:00:52.421944+00	waiting for MVCC GC
