table_name	aggregated_ts	row_count
system.statement_statistics	2025-06-27 09:00:00+00	85
system.statement_statistics	2025-06-27 08:00:00+00	89
system.statement_statistics	2025-06-27 07:00:00+00	118
system.statement_statistics	2025-06-27 06:00:00+00	210
system.statement_statistics	2025-06-27 05:00:00+00	142
system.statement_statistics	2025-06-26 14:00:00+00	70
system.statement_statistics	2025-06-26 11:00:00+00	79
system.statement_statistics	2025-06-26 10:00:00+00	84
system.statement_statistics	2025-06-26 09:00:00+00	92
system.statement_statistics	2025-06-26 08:00:00+00	99
system.statement_statistics	2025-06-26 07:00:00+00	333
system.transaction_activity	2025-07-21 11:00:00+00	15
system.transaction_activity	2025-07-21 10:00:00+00	15
system.transaction_activity	2025-07-21 09:00:00+00	15
system.transaction_activity	2025-07-21 07:00:00+00	139
system.transaction_activity	2025-07-21 06:00:00+00	160
system.transaction_activity	2025-07-21 04:00:00+00	3
system.transaction_activity	2025-07-18 12:00:00+00	109
system.transaction_activity	2025-07-18 11:00:00+00	145
system.transaction_activity	2025-07-18 10:00:00+00	150
system.transaction_activity	2025-07-18 09:00:00+00	141
system.transaction_activity	2025-07-18 06:00:00+00	142
system.transaction_activity	2025-07-17 11:00:00+00	150
system.transaction_activity	2025-07-17 10:00:00+00	155
system.transaction_activity	2025-07-17 07:00:00+00	142
system.transaction_activity	2025-07-17 06:00:00+00	142
system.transaction_activity	2025-07-17 05:00:00+00	151
system.transaction_activity	2025-07-17 04:00:00+00	2
system.transaction_activity	2025-07-16 13:00:00+00	15
system.transaction_activity	2025-07-16 12:00:00+00	125
system.transaction_activity	2025-07-16 11:00:00+00	108
system.transaction_activity	2025-07-16 09:00:00+00	155
system.transaction_activity	2025-07-16 08:00:00+00	161
system.transaction_activity	2025-07-16 07:00:00+00	141
system.transaction_activity	2025-07-16 06:00:00+00	15
system.transaction_activity	2025-07-15 09:00:00+00	142
system.transaction_activity	2025-07-15 08:00:00+00	141
system.transaction_activity	2025-07-15 07:00:00+00	143
system.transaction_activity	2025-07-15 06:00:00+00	146
system.transaction_activity	2025-07-14 09:00:00+00	166
system.transaction_activity	2025-07-14 08:00:00+00	135
system.transaction_activity	2025-07-14 07:00:00+00	141
system.transaction_activity	2025-07-09 10:00:00+00	149
system.transaction_activity	2025-07-09 09:00:00+00	142
system.transaction_activity	2025-07-09 08:00:00+00	148
system.transaction_activity	2025-07-09 07:00:00+00	8
system.transaction_activity	2025-07-07 08:00:00+00	141
system.transaction_activity	2025-07-07 07:00:00+00	147
system.transaction_activity	2025-07-07 06:00:00+00	147
system.transaction_activity	2025-07-07 05:00:00+00	164
system.transaction_activity	2025-07-04 13:00:00+00	97
system.transaction_activity	2025-07-04 12:00:00+00	125
system.transaction_activity	2025-07-04 11:00:00+00	139
system.transaction_activity	2025-07-04 10:00:00+00	136
system.transaction_activity	2025-07-03 13:00:00+00	97
system.transaction_activity	2025-07-03 12:00:00+00	95
system.transaction_activity	2025-07-03 11:00:00+00	95
system.transaction_activity	2025-07-03 10:00:00+00	103
system.transaction_activity	2025-07-03 09:00:00+00	94
system.transaction_activity	2025-07-03 08:00:00+00	94
system.transaction_activity	2025-07-03 07:00:00+00	98
system.transaction_activity	2025-07-02 13:00:00+00	6
system.transaction_activity	2025-07-02 12:00:00+00	11
system.transaction_activity	2025-07-02 11:00:00+00	3
system.transaction_activity	2025-07-02 10:00:00+00	7
system.transaction_activity	2025-07-02 09:00:00+00	18
system.transaction_activity	2025-07-02 06:00:00+00	19
system.transaction_activity	2025-07-01 07:00:00+00	15
system.transaction_activity	2025-07-01 05:00:00+00	26
system.transaction_activity	2025-07-01 04:00:00+00	7
system.transaction_activity	2025-06-30 09:00:00+00	19
system.transaction_activity	2025-06-30 07:00:00+00	6
system.transaction_activity	2025-06-28 10:00:00+00	15
system.transaction_activity	2025-06-28 09:00:00+00	15
system.transaction_activity	2025-06-28 08:00:00+00	24
system.transaction_activity	2025-06-28 07:00:00+00	20
system.transaction_activity	2025-06-27 11:00:00+00	15
system.transaction_activity	2025-06-27 07:00:00+00	4
system.transaction_activity	2025-06-27 06:00:00+00	20
system.transaction_activity	2025-06-27 05:00:00+00	10
system.transaction_activity	2025-06-26 07:00:00+00	19
system.transaction_statistics	2025-07-22 05:00:00+00	13
system.transaction_statistics	2025-07-22 04:00:00+00	21
system.transaction_statistics	2025-07-21 12:00:00+00	20
system.transaction_statistics	2025-07-21 11:00:00+00	50
