timestamp	rangeID	storeID	eventType	otherRangeID	info	uniqueID
2025-06-26 11:10:08.066558	75	1	split	76	"{""UpdatedDesc"":{""range_id"":75,""start_key"":""8g=="",""end_key"":""9nU="",""internal_replicas"":[{""node_id"":1,""store_id"":1,""replica_id"":1,""type"":0}],""next_replica_id"":2,""generation"":2,""sticky_bit"":{}},""NewDesc"":{""range_id"":76,""start_key"":""9nU="",""end_key"":""//8="",""internal_replicas"":[{""node_id"":1,""store_id"":1,""replica_id"":1,""type"":0}],""next_replica_id"":2,""generation"":2,""sticky_bit"":{}},""Details"":""span config""}"	1084181079998398465
2025-06-26 11:13:02.110468	76	1	split	77	"{""UpdatedDesc"":{""range_id"":76,""start_key"":""9nU="",""end_key"":""9oA="",""internal_replicas"":[{""node_id"":1,""store_id"":1,""replica_id"":1,""type"":0}],""next_replica_id"":2,""generation"":3,""sticky_bit"":{}},""NewDesc"":{""range_id"":77,""start_key"":""9oA="",""end_key"":""//8="",""internal_replicas"":[{""node_id"":1,""store_id"":1,""replica_id"":1,""type"":0}],""next_replica_id"":2,""generation"":3,""sticky_bit"":{}},""Details"":""span config""}"	1084181650298601473
2025-06-26 11:14:26.129094	77	1	split	78	"{""UpdatedDesc"":{""range_id"":77,""start_key"":""9oA="",""end_key"":""9os="",""internal_replicas"":[{""node_id"":1,""store_id"":1,""replica_id"":1,""type"":0}],""next_replica_id"":2,""generation"":4,""sticky_bit"":{}},""NewDesc"":{""range_id"":78,""start_key"":""9os="",""end_key"":""//8="",""internal_replicas"":[{""node_id"":1,""store_id"":1,""replica_id"":1,""type"":0}],""next_replica_id"":2,""generation"":4,""sticky_bit"":{}},""Details"":""span config""}"	1084181925614878721
2025-06-26 11:15:20.177513	65	1	merge	75	"{""UpdatedDesc"":{""range_id"":65,""start_key"":""xw=="",""end_key"":""9nU="",""internal_replicas"":[{""node_id"":1,""store_id"":1,""replica_id"":1,""type"":0}],""next_replica_id"":2,""generation"":6,""sticky_bit"":{}},""RemovedDesc"":{""range_id"":75,""start_key"":""8g=="",""end_key"":""9nU="",""internal_replicas"":[{""node_id"":1,""store_id"":1,""replica_id"":1,""type"":0}],""next_replica_id"":2,""generation"":2,""sticky_bit"":{}}}"	1084182102704160769
2025-06-26 11:18:20.230177	65	1	merge	76	"{""UpdatedDesc"":{""range_id"":65,""start_key"":""xw=="",""end_key"":""9oA="",""internal_replicas"":[{""node_id"":1,""store_id"":1,""replica_id"":1,""type"":0}],""next_replica_id"":2,""generation"":7,""sticky_bit"":{}},""RemovedDesc"":{""range_id"":76,""start_key"":""9nU="",""end_key"":""9oA="",""internal_replicas"":[{""node_id"":1,""store_id"":1,""replica_id"":1,""type"":0}],""next_replica_id"":2,""generation"":3,""sticky_bit"":{}}}"	1084182692702060545
2025-06-26 11:19:50.247826	65	1	merge	77	"{""UpdatedDesc"":{""range_id"":65,""start_key"":""xw=="",""end_key"":""9os="",""internal_replicas"":[{""node_id"":1,""store_id"":1,""replica_id"":1,""type"":0}],""next_replica_id"":2,""generation"":8,""sticky_bit"":{}},""RemovedDesc"":{""range_id"":77,""start_key"":""9oA="",""end_key"":""9os="",""internal_replicas"":[{""node_id"":1,""store_id"":1,""replica_id"":1,""type"":0}],""next_replica_id"":2,""generation"":4,""sticky_bit"":{}}}"	1084182987703812097
2025-06-27 09:52:58.050046	78	1	split	79	"{""UpdatedDesc"":{""range_id"":78,""start_key"":""9os="",""end_key"":""9pY="",""internal_replicas"":[{""node_id"":1,""store_id"":1,""replica_id"":1,""type"":0}],""next_replica_id"":2,""generation"":5,""sticky_bit"":{}},""NewDesc"":{""range_id"":79,""start_key"":""9pY="",""end_key"":""//8="",""internal_replicas"":[{""node_id"":1,""store_id"":1,""replica_id"":1,""type"":0}],""next_replica_id"":2,""generation"":5,""sticky_bit"":{}},""Details"":""span config""}"	1084449023866142721
2025-06-27 09:58:07.108385	65	1	merge	78	"{""UpdatedDesc"":{""range_id"":65,""start_key"":""xw=="",""end_key"":""9pY="",""internal_replicas"":[{""node_id"":1,""store_id"":1,""replica_id"":1,""type"":0}],""next_replica_id"":2,""generation"":9,""sticky_bit"":{}},""RemovedDesc"":{""range_id"":78,""start_key"":""9os="",""end_key"":""9pY="",""internal_replicas"":[{""node_id"":1,""store_id"":1,""replica_id"":1,""type"":0}],""next_replica_id"":2,""generation"":5,""sticky_bit"":{}}}"	1084450036631371777
2025-06-27 10:44:49.590122	79	1	split	80	"{""UpdatedDesc"":{""range_id"":79,""start_key"":""9pY="",""end_key"":""9qw="",""internal_replicas"":[{""node_id"":1,""store_id"":1,""replica_id"":1,""type"":0}],""next_replica_id"":2,""generation"":6,""sticky_bit"":{}},""NewDesc"":{""range_id"":80,""start_key"":""9qw="",""end_key"":""//8="",""internal_replicas"":[{""node_id"":1,""store_id"":1,""replica_id"":1,""type"":0}],""next_replica_id"":2,""generation"":6,""sticky_bit"":{}},""Details"":""span config""}"	1084459219777978369
2025-06-27 10:50:04.108604	65	1	merge	79	"{""UpdatedDesc"":{""range_id"":65,""start_key"":""xw=="",""end_key"":""9qw="",""internal_replicas"":[{""node_id"":1,""store_id"":1,""replica_id"":1,""type"":0}],""next_replica_id"":2,""generation"":10,""sticky_bit"":{}},""RemovedDesc"":{""range_id"":79,""start_key"":""9pY="",""end_key"":""9qw="",""internal_replicas"":[{""node_id"":1,""store_id"":1,""replica_id"":1,""type"":0}],""next_replica_id"":2,""generation"":6,""sticky_bit"":{}}}"	1084460250450886657
