job_id	job_type	description	statement	user_name	status	running_status	created	finished	modified	fraction_completed	high_water_timestamp	error	coordinator_id
1087819230282743809	AUTO CREATE STATS	Table statistics refresh for system.public.span_stats_samples	Table statistics refresh for system.public.span_stats_samples	node	succeeded	NULL	2025-07-09 07:34:43.46032+00	2025-07-09 07:34:43.690786+00	2025-07-09 07:34:43.690786+00	1	NULL		1
1087819231315001345	AUTO CREATE STATS	Table statistics refresh for system.public.span_stats_tenant_boundaries	Table statistics refresh for system.public.span_stats_tenant_boundaries	node	succeeded	NULL	2025-07-09 07:34:43.775342+00	2025-07-09 07:34:43.986139+00	2025-07-09 07:34:43.986139+00	1	NULL		1
1087819232267730945	AUTO CREATE STATS	Table statistics refresh for system.public.job_progress_history	Table statistics refresh for system.public.job_progress_history	node	succeeded	NULL	2025-07-09 07:34:44.066084+00	2025-07-09 07:34:44.297527+00	2025-07-09 07:34:44.297527+00	1	NULL		1
1087819233224687617	AUTO CREATE STATS	Table statistics refresh for system.public.role_members	Table statistics refresh for system.public.role_members	node	succeeded	NULL	2025-07-09 07:34:44.358127+00	2025-07-09 07:34:44.592526+00	2025-07-09 07:34:44.592526+00	1	NULL		1
1087819234244886529	AUTO CREATE STATS	Table statistics refresh for system.public.replication_constraint_stats	Table statistics refresh for system.public.replication_constraint_stats	node	succeeded	NULL	2025-07-09 07:34:44.669468+00	2025-07-09 07:34:44.935754+00	2025-07-09 07:34:44.935754+00	1	NULL		1
1087819235364175873	AUTO CREATE STATS	Table statistics refresh for system.public.namespace	Table statistics refresh for system.public.namespace	node	succeeded	NULL	2025-07-09 07:34:45.011044+00	2025-07-09 07:34:45.245118+00	2025-07-09 07:34:45.245118+00	1	NULL		1
1087819236371070977	AUTO CREATE PARTIAL STATS	Partial statistics update for system.public.job_message	Partial statistics update for system.public.job_message	node	succeeded	NULL	2025-07-09 07:34:45.31833+00	2025-07-09 07:34:45.504115+00	2025-07-09 07:34:45.504115+00	1	NULL		1
1087819237222350849	AUTO CREATE STATS	Table statistics refresh for system.public.statement_diagnostics_requests	Table statistics refresh for system.public.statement_diagnostics_requests	node	succeeded	NULL	2025-07-09 07:34:45.578118+00	2025-07-09 07:34:45.850462+00	2025-07-09 07:34:45.850462+00	1	NULL		1
1087819238459801601	AUTO CREATE STATS	Table statistics refresh for system.public.prepared_transactions	Table statistics refresh for system.public.prepared_transactions	node	succeeded	NULL	2025-07-09 07:34:45.955759+00	2025-07-09 07:34:46.199908+00	2025-07-09 07:34:46.199908+00	1	NULL		1
1087819239545896961	AUTO CREATE STATS	Table statistics refresh for system.public.users	Table statistics refresh for system.public.users	node	succeeded	NULL	2025-07-09 07:34:46.287201+00	2025-07-09 07:34:46.520014+00	2025-07-09 07:34:46.520014+00	1	NULL		1
