id	status	created	created_by_type	created_by_id	claim_session_id	claim_instance_id	num_runs	last_run	job_type	owner	description	error_msg	finished
1087515989624160257	succeeded	2025-07-08 05:52:21.755429	NULL	NULL	\x0101801a46076f857444409e1cd13a46b32a43	1	NULL	NULL	AUTO CREATE STATS	node	Table statistics refresh for system.public.job_info	NULL	2025-07-08 05:52:21.995652+00
1087517628104310785	succeeded	2025-07-08 06:00:41.769708	crdb_schedule	1084131516558508033	\x0101801a46076f857444409e1cd13a46b32a43	1	NULL	NULL	AUTO SQL STATS COMPACTION	node	automatic SQL Stats compaction	NULL	2025-07-08 06:00:57.642604+00
1087517956771184641	succeeded	2025-07-08 06:02:22.08106	NULL	NULL	\x0101801a46076f857444409e1cd13a46b32a43	1	NULL	NULL	AUTO CREATE PARTIAL STATS	node	Partial statistics update for system.public.statement_statistics	NULL	2025-07-08 06:02:22.265481+00
1087518350767751169	succeeded	2025-07-08 06:04:22.31927	NULL	NULL	\x0101801a46076f857444409e1cd13a46b32a43	1	NULL	NULL	AUTO CREATE PARTIAL STATS	node	Partial statistics update for system.public.reports_meta	NULL	2025-07-08 06:04:22.477384+00
1087518548101922817	succeeded	2025-07-08 06:05:22.540879	NULL	NULL	\x0101801a46076f857444409e1cd13a46b32a43	1	NULL	NULL	AUTO CREATE PARTIAL STATS	node	Partial statistics update for system.public.job_info	NULL	2025-07-08 06:05:22.711696+00
1087521301462974465	succeeded	2025-07-08 06:19:22.799988	NULL	NULL	\x0101801a46076f857444409e1cd13a46b32a43	1	NULL	NULL	AUTO CREATE STATS	node	Table statistics refresh for system.public.reports_meta	NULL	2025-07-08 06:19:23.043081+00
1087522678959177729	succeeded	2025-07-08 06:26:23.178467	NULL	NULL	\x0101801a46076f857444409e1cd13a46b32a43	1	NULL	NULL	AUTO CREATE PARTIAL STATS	node	Partial statistics update for system.public.reports_meta	NULL	2025-07-08 06:26:23.369862+00
1087522876442509313	succeeded	2025-07-08 06:27:23.445602	NULL	NULL	\x0101801a46076f857444409e1cd13a46b32a43	1	NULL	NULL	AUTO CREATE PARTIAL STATS	node	Partial statistics update for system.public.job_info	NULL	2025-07-08 06:27:23.609761+00
1087523073855651841	succeeded	2025-07-08 06:28:23.691312	NULL	NULL	\x0101801a46076f857444409e1cd13a46b32a43	1	NULL	NULL	AUTO CREATE PARTIAL STATS	node	Partial statistics update for system.public.reports_meta	NULL	2025-07-08 06:28:23.889505+00
1087523958051504129	succeeded	2025-07-08 06:32:53.526468	NULL	NULL	\x0101801a46076f857444409e1cd13a46b32a43	1	NULL	NULL	AUTO CREATE PARTIAL STATS	node	Partial statistics update for system.public.statement_statistics	NULL	2025-07-08 06:32:53.708562+00
1087524745323184129	succeeded	2025-07-08 06:36:53.782714	NULL	NULL	\x0101801a46076f857444409e1cd13a46b32a43	1	NULL	NULL	AUTO CREATE PARTIAL STATS	node	Partial statistics update for system.public.reports_meta	NULL	2025-07-08 06:36:53.970187+00
1087525532651356161	succeeded	2025-07-08 06:40:54.056207	NULL	NULL	\x0101801a46076f857444409e1cd13a46b32a43	1	NULL	NULL	AUTO CREATE PARTIAL STATS	node	Partial statistics update for system.public.job_info	NULL	2025-07-08 06:40:54.241619+00
1087525533466951681	succeeded	2025-07-08 06:40:54.305105	NULL	NULL	\x0101801a46076f857444409e1cd13a46b32a43	1	NULL	NULL	AUTO CREATE STATS	node	Table statistics refresh for system.public.reports_meta	NULL	2025-07-08 06:40:54.507825+00
1087525730995798017	succeeded	2025-07-08 06:41:54.586121	NULL	NULL	\x0101801a46076f857444409e1cd13a46b32a43	1	NULL	NULL	AUTO CREATE PARTIAL STATS	node	Partial statistics update for system.public.reports_meta	NULL	2025-07-08 06:41:54.752946+00
1087526124961169409	succeeded	2025-07-08 06:43:54.814819	NULL	NULL	\x0101801a46076f857444409e1cd13a46b32a43	1	NULL	NULL	AUTO CREATE PARTIAL STATS	node	Partial statistics update for system.public.job_progress_history	NULL	2025-07-08 06:43:55.017937+00
1087526715650310145	succeeded	2025-07-08 06:46:55.078838	NULL	NULL	\x0101801a46076f857444409e1cd13a46b32a43	1	NULL	NULL	AUTO CREATE PARTIAL STATS	node	Partial statistics update for system.public.job_progress	NULL	2025-07-08 06:46:55.251594+00
