store_id	name	value
NULL	sys.go.heap.allocbytes	4.44600206048e+11
NULL	sql.mem.sql.max-count	1312
NULL	txn.refresh.success	1954
NULL	jobs.row_level_ttl.delete_duration-avg	0
NULL	obs.tablemetadata.update_job.duration-avg	0
NULL	sql.mem.internal.session.prepared.max-p75	6563.369812452833
NULL	changefeed.stage.kv_feed_buffer.latency-avg	0
NULL	sql.distsql.flows.active	0
NULL	sql.mem.internal.session.prepared.current	0
NULL	sql.mem.bulk.max-p99.99	0
NULL	admission.requested.kv.user-low-pri	2128
NULL	jobs.import_rollback.currently_running	0
NULL	changefeed.buffer_entries.out.aggregator	0
NULL	jobs.import.resume_retry_error	0
NULL	jobs.import.currently_idle	0
NULL	txn.durations-p50	86313.9968786293
NULL	jobs.schema_change_gc.fail_or_cancel_completed	0
NULL	jobs.backup.resume_retry_error	0
NULL	admission.wait_durations.sql-kv-response.user-low-pri-p75	7500
NULL	changefeed.checkpoint.span_count-p99.99	0
NULL	auth.password.conn.latency-avg	0
NULL	sql.temp_object_cleaner.active_cleaners	0
NULL	admission.elastic_cpu.over_limit_durations-avg	0
NULL	txn.commit_waits	0
NULL	logical_replication.replan_count	0
NULL	txn.restarts.asyncwritefailure	0
NULL	timeseries.write.samples	9.210683e+06
NULL	admission.wait_durations.kv.bulk-normal-pri-p90	0
NULL	admission.wait_durations.sql-kv-response.bulk-low-pri-sum	0
NULL	changefeed.checkpoint.span_count-p50	0
NULL	changefeed.stage.checkpoint_job_progress.latency-p50	0
NULL	jobs.row_level_ttl.num_active_spans	0
NULL	changefeed.parallel_io_result_queue_nanos-avg	0
NULL	admission.granter.cpu_load_short_period_duration.kv	2.5028523e+10
NULL	changefeed.stage.rangefeed_buffer_value.latency-max	0
NULL	sql.mem.sql.txn.max-max	8000
NULL	jobs.row_level_ttl.select_duration-p99.9	0
NULL	rpc.method.leaseinfo.recv	92
NULL	jobs.row_level_ttl.span_total_duration-p90	0
NULL	sql.mem.sql.max-p99.9	8000
NULL	changefeed.flush_hist_nanos-p99	0
NULL	changefeed.stage.rangefeed_buffer_value.latency-p50	0
NULL	sql.crud_query.count	9.444256e+06
NULL	sql.distsql.exec.latency-p75	0
NULL	jobs.import_rollback.fail_or_cancel_retry_error	0
NULL	sql.distsql.service.latency-count	12877
NULL	jobs.typedesc_schema_change.fail_or_cancel_completed	0
NULL	changefeed.flushed_bytes	0
NULL	auth.password.conn.latency-sum	0
NULL	kv.protectedts.reconciliation.num_runs	89
NULL	admission.wait_durations.sql-kv-response-max	10000
