store_id	name	value
NULL	admission.errored.elastic-cpu.normal-pri	0
NULL	sql.temp_object_cleaner.schemas_deletion_error	0
NULL	sql.service.latency.consistent.internal-count	38961
NULL	sys.host.disk.read.count	9.619761e+06
NULL	distsender.rpc.err.replicaunavailableerrtype	0
NULL	distsender.rpc.err.errordetailtype(19)	0
NULL	admission.wait_durations.sql-sql-response-p90	0
NULL	admission.wait_durations.elastic-cpu-p99.99	0
NULL	sql.exec.latency-p50	8.267540660433175e+06
NULL	jobs.changefeed.fail_or_cancel_retry_error	0
NULL	changefeed.stage.rangefeed_buffer_value.latency-sum	0
NULL	distsender.rpc.merge.sent	8.268071e+06
NULL	admission.errored.kv.normal-pri	0
NULL	jobs.sql_activity_flush.protected_age_sec	0
NULL	sql.exec.latency.historical-avg	0
NULL	sql.stats.reported.mem.max-count	0
NULL	jobs.new_schema_change.fail_or_cancel_failed	0
NULL	jobs.typedesc_schema_change.expired_pts_records	0
NULL	sql.mem.bulk.current	0
NULL	changefeed.parallel_io_queue_nanos-avg	0
NULL	sql.exec.latency.consistent-max	1.1689518164985757e+08
NULL	admission.wait_durations.elastic-cpu.bulk-low-pri-max	0
NULL	gossip.callbacks.pending	0
NULL	auth.jwt.conn.latency-sum	0
NULL	jobs.poll_jobs_stats.currently_idle	2
NULL	sql.pre_serve.mem.max-max	0
NULL	sql.mem.internal.txn.max-p50	5107.83659612215
NULL	jobs.row_level_ttl.currently_paused	0
NULL	sys.cpu.host.combined.percent-normalized	0.22672093294563317
NULL	gossip.callbacks.processing_duration-p50	0
NULL	distsender.rpc.err.indeterminatecommiterrtype	0
NULL	jobs.update_table_metadata_cache.expired_pts_records	0
NULL	jobs.changefeed.fail_or_cancel_completed	0
NULL	jobs.create_stats.currently_idle	0
NULL	sql.mem.internal.session.max-p99	7948.811267188002
NULL	raft.transport.send-queue-bytes	0
NULL	rpc.method.revertrange.recv	0
NULL	sql.service.latency.historical.internal-max	3.769390975388353e+08
NULL	changefeed.admit_latency-p90	0
NULL	tenant.consumption.kv_request_units	0
NULL	exec.latency-p50	6.427019346888688e+06
NULL	kvflowcontrol.tokens.eval.regular.available	1.6777216e+07
NULL	sql.distsql.exec.latency.internal-count	1487
NULL	schedules.scheduled-row-level-ttl-executor.succeeded	0
NULL	sql.contention.resolver.queue_size	6
NULL	sys.goroutines	474
NULL	kvflowcontrol.streams.send.elastic.blocked_count	0
NULL	admission.granter.cpu_load_short_period_duration.kv	2.2484409e+10
NULL	liveness.heartbeatsuccesses	7997
NULL	physical_replication.flush_hist_nanos-p99.99	0
NULL	changefeed.nprocs_consume_event_nanos-avg	0
NULL	go.scheduler_latency-p50	29653.917808219172
NULL	jobs.backup.fail_or_cancel_failed	0
NULL	jobs.auto_create_partial_stats.protected_record_count	0
NULL	admission.wait_durations.elastic-cpu.bulk-low-pri-p75	0
NULL	admission.wait_queue_length.kv.user-low-pri	0
NULL	admission.wait_queue_length.kv	0
NULL	sql.txn.begin.started.count.internal	93
